method,fpr_location,arp_location,fpr_type,arp_type,fpr_inter,IRP
2000,"[0.6922222222222222, 0.3727810650887574, 0.5739795918367347, 0.31505102040816324]",0.37717120181405894,"[0.6420118343195266, 0.35798816568047337]",0.2840236686390532,"[0.7381656804733728, 0.5295566502463054, 0.22131147540983606, 0.4642857142857143, 0.6720430107526881, 0.5384615384615384, 0.5536723163841808, 0.2018181818181818]",0.536347498655191
2001,"[0.7122222222222222, 0.3698224852071006, 0.5982142857142857, 0.27040816326530615]",0.44181405895691606,"[0.6084812623274162, 0.3915187376725838]",0.21696252465483234,"[0.7707100591715976, 0.5197044334975369, 0.1885245901639344, 0.47619047619047616, 0.7150537634408602, 0.5547337278106509, 0.3954802259887006, 0.24]",0.5821854690076632
2002,"[0.7, 0.4511834319526627, 0.6096938775510204, 0.20280612244897958]",0.4971938775510204,"[0.5690335305719921, 0.43096646942800787]",0.13806706114398426,"[0.7248520710059172, 0.5689655172413793, 0.2459016393442623, 0.5575396825396826, 0.6129032258064516, 0.5961538461538461, 0.384180790960452, 0.1509090909090909]",0.5739429800968263
2003,"[0.6888888888888889, 0.39201183431952663, 0.5892857142857143, 0.2869897959183674]",0.4018990929705215,"[0.5621301775147929, 0.4378698224852071]",0.12426035502958577,"[0.7337278106508875, 0.5295566502463054, 0.1762295081967213, 0.5119047619047619, 0.5698924731182796, 0.584319526627219, 0.4180790960451977, 0.24909090909090909]",0.5574983024541662
2004,"[0.6577777777777778, 0.4807692307692308, 0.5701530612244898, 0.2653061224489796]",0.3924716553287982,"[0.6104536489151874, 0.3895463510848126]",0.22090729783037477,"[0.7292899408284024, 0.46798029556650245, 0.32786885245901637, 0.5575396825396826, 0.6236559139784946, 0.5473372781065089, 0.4322033898305085, 0.20909090909090908]",0.5201990317374933
2005,"[0.68, 0.45710059171597633, 0.5522959183673469, 0.2780612244897959]",0.4019387755102041,"[0.606508875739645, 0.39349112426035504]",0.21301775147928992,"[0.7455621301775148, 0.49014778325123154, 0.4139344262295082, 0.48412698412698413, 0.543010752688172, 0.5488165680473372, 0.3728813559322034, 0.26545454545454544]",0.4801075847229694
2006,"[0.7066666666666667, 0.4511834319526627, 0.5497448979591837, 0.25510204081632654]",0.45156462585034013,"[0.5818540433925049, 0.4181459566074951]",0.1637080867850098,"[0.7470414201183432, 0.5467980295566502, 0.35655737704918034, 0.503968253968254, 0.5913978494623656, 0.5325443786982249, 0.3135593220338983, 0.27090909090909093]",0.47613232920925225
2007,"[0.6911111111111111, 0.4349112426035503, 0.6007653061224489, 0.23596938775510204]",0.4551417233560091,"[0.606508875739645, 0.39349112426035504]",0.21301775147928992,"[0.7292899408284024, 0.541871921182266, 0.3155737704918033, 0.501984126984127, 0.6451612903225806, 0.5769230769230769, 0.4180790960451977, 0.17636363636363636]",0.552926304464766
2008,"[0.7244444444444444, 0.4156804733727811, 0.5497448979591837, 0.2653061224489796]",0.45913832199546484,"[0.6104536489151874, 0.3895463510848126]",0.22090729783037477,"[0.7662721893491125, 0.5541871921182266, 0.3155737704918033, 0.47619047619047616, 0.6290322580645161, 0.522189349112426, 0.3672316384180791, 0.2509090909090909]",0.5153630984400215
2009,"[0.6933333333333334, 0.46893491124260356, 0.5994897959183674, 0.20535714285714285]",0.4879761904761905,"[0.5907297830374754, 0.40927021696252464]",0.18145956607495073,"[0.764792899408284, 0.4876847290640394, 0.27459016393442626, 0.5674603174603174, 0.6666666666666666, 0.5695266272189349, 0.3220338983050847, 0.19454545454545455]",0.5702474448628294
