location,type,irp,method_group,rank_type
0.377171202,0.284023669,0.536347499,base_rank,2000
0.441814059,0.216962525,0.582185469,base_rank,2001
0.497193878,0.138067061,0.57394298,base_rank,2002
0.401899093,0.124260355,0.557498302,base_rank,2003
0.392471655,0.220907298,0.520199032,base_rank,2004
0.401938776,0.213017751,0.480107585,base_rank,2005
0.451564626,0.163708087,0.476132329,base_rank,2006
0.455141723,0.213017751,0.552926304,base_rank,2007
0.459138322,0.220907298,0.515363098,base_rank,2008
0.48797619,0.181459566,0.570247445,base_rank,2009
0.418809524,0.216962525,0.520909091,base_rank,2010
0.469546485,0.214990138,0.559462076,base_rank,2011
0.457199546,0.163708087,0.542296934,base_rank,2012
0.489053288,0.211045365,0.544701452,base_rank,2013
0.415515873,0.163708087,0.495363098,base_rank,2014
0.489586168,0.197238659,0.560511027,base_rank,2015
0.444529478,0.211045365,0.511726735,base_rank,2016
0.423747166,0.094674556,0.447869822,base_rank,2017
0.408560091,0.102564103,0.456993007,base_rank,2018
0.415969388,0.132149901,0.467439484,base_rank,2019
0.347953515,0.157790927,0.415389995,base_rank,2020
0.478803855,0.203155819,0.569693384,Kemeny,kemeny
0.049744898,0,0.049800968,Multi-Fair,Multi-Fair
0.043781179,0.015779093,0.048321678,greedy_fair,greedy_fair
