method,fpr_lunch,arp_lunch,fpr_gender,fpr_race,arp_gender,arp_race,fpr_inter,IRP
math,"[0.717851662404092, 0.2821483375959079]",0.43570332480818413,"[0.38661858974358976, 0.6133814102564102]","[0.5908333333333333, 0.488075840616205, 0.5646167557932263, 0.5451722190852626, 0.21837386391549987]",0.22676282051282048,0.3724594694178335,"[0.6040609137055838, 0.44041450777202074, 0.6436842105263157, 0.2149822695035461, 0.5787545787545788, 0.3644586326150572, 0.6354016354016354, 0.41436251920122885, 0.2436548223350254, 0.09128205128205129, 0.7083333333333334, 0.5656565656565656, 0.7331578947368421, 0.4261664261664262, 0.7460106382978723, 0.5888781742205079, 0.5795706883789785, 0.5591397849462365, 0.4686971235194585, 0.24379432624113476]",0.654728587015821
reading,"[0.629462915601023, 0.370537084398977]",0.258925831202046,"[0.6047676282051282, 0.3952323717948718]","[0.5533333333333333, 0.4471930084431936, 0.5632798573975044, 0.5635234330886505, 0.290346352247605]",0.2095352564102564,0.27317708084104547,"[0.6040609137055838, 0.6113989637305699, 0.6378947368421053, 0.3603723404255319, 0.6416361416361417, 0.532854482575153, 0.7263107263107264, 0.5311059907834101, 0.4890016920473773, 0.24820512820512822, 0.5110677083333334, 0.4065656565656566, 0.5094736842105263, 0.34535834535834536, 0.5478723404255319, 0.45901639344262296, 0.4463360473723168, 0.488863287250384, 0.40439932318104904, 0.25842198581560283]",0.47810559810559816
writing,"[0.6782608695652174, 0.3217391304347826]",0.3565217391304348,"[0.6346153846153846, 0.36538461538461536]","[0.5572222222222222, 0.4745963560953933, 0.5590463458110517, 0.5230095990965556, 0.3212969786293294]",0.2692307692307692,0.23774936718172235,"[0.6683587140439933, 0.5877128053293856, 0.7305263157894737, 0.32136524822695034, 0.6932234432234432, 0.5192870444267093, 0.7643097643097643, 0.5119047619047619, 0.5668358714043993, 0.2594871794871795, 0.5026041666666666, 0.4595959595959596, 0.54, 0.3641173641173641, 0.5137411347517731, 0.4336226293796207, 0.3945225758697261, 0.39439324116743474, 0.5245346869712352, 0.2575354609929078]",0.5067743033168565
Kemeny,"[0.6675191815856778, 0.33248081841432225]",0.33503836317135555,"[0.5772235576923077, 0.4227764423076923]","[0.5697222222222222, 0.463486890830988, 0.5687388591800356, 0.5447487295313382, 0.26946696143453697]",0.15444711538461542,0.3002552607876853,"[0.626057529610829, 0.5766099185788305, 0.6863157894736842, 0.3120567375886525, 0.6538461538461539, 0.5019952114924182, 0.7243867243867244, 0.5034562211981567, 0.45516074450084604, 0.19487179487179487, 0.5559895833333334, 0.4671717171717172, 0.5494736842105263, 0.3698893698893699, 0.5749113475177305, 0.47958855673416906, 0.4529977794226499, 0.46351766513056836, 0.4653130287648054, 0.23670212765957446]",0.5295149295149295
Weighted_Kemeny,"[0.6794884910485933, 0.3205115089514067]",0.35897698209718665,"[0.6285056089743589, 0.371494391025641]","[0.5616666666666666, 0.47296696785661385, 0.5593805704099821, 0.52343308865048, 0.31859493981822645]",0.2570112179487179,0.2430717268484402,"[0.6649746192893401, 0.5877128053293856, 0.7257894736842105, 0.3182624113475177, 0.6907814407814408, 0.5137004522479383, 0.7623857623857624, 0.5084485407066052, 0.5668358714043993, 0.25846153846153846, 0.5130208333333334, 0.46464646464646464, 0.5447368421052632, 0.3621933621933622, 0.5159574468085106, 0.4423015107682417, 0.40192450037009625, 0.3966973886328725, 0.5160744500846024, 0.2553191489361702]",0.5070666134495923
Fair_Kemeny,"[0.5249104859335039, 0.4750895140664962]",0.04982097186700768,"[0.5104166666666666, 0.4895833333333333]","[0.5194444444444445, 0.4960746556065768, 0.5120320855614974, 0.4950592885375494, 0.47138295259150087]",0.020833333333333315,0.048061491852943616,"[0.5228426395939086, 0.5233160621761658, 0.5231578947368422, 0.4734042553191489, 0.5228937728937729, 0.49906890130353815, 0.5233285233285233, 0.49846390168970817, 0.47377326565143824, 0.47384615384615386, 0.5221354166666666, 0.4772727272727273, 0.5231578947368422, 0.4737854737854738, 0.5226063829787234, 0.4953391192542591, 0.47372316802368614, 0.48310291858678955, 0.47377326565143824, 0.4734042553191489]",0.049924268009374384
Fair_Schulze,"[0.5230690537084399, 0.4769309462915601]",0.04613810741687985,"[0.5009014423076923, 0.4990985576923077]","[0.5191666666666667, 0.495037772181899, 0.5033422459893048, 0.5055053642010163, 0.47433063129452224]",0.0018028846153845812,0.04483603537214442,"[0.5042301184433164, 0.5218356772760918, 0.5168421052631579, 0.47606382978723405, 0.5228937728937729, 0.47326416600159615, 0.5228475228475229, 0.5053763440860215, 0.47377326565143824, 0.47794871794871796, 0.5227864583333334, 0.5050505050505051, 0.5157894736842106, 0.48003848003848004, 0.5217198581560284, 0.5020893603342976, 0.48334566987416727, 0.5, 0.4873096446700508, 0.4734042553191489]",0.04962960689217677
Fair_Borda,"[0.5245012787723785, 0.4754987212276215]",0.04900255754475702,"[0.5048076923076923, 0.4951923076923077]","[0.515, 0.496519034217153, 0.5061274509803921, 0.49929418407679277, 0.480225988700565]",0.009615384615384581,0.034774011299435026,"[0.49915397631133673, 0.5218356772760918, 0.5236842105263158, 0.475177304964539, 0.5238095238095238, 0.48071295557329075, 0.5204425204425205, 0.500768049155146, 0.49238578680203043, 0.4841025641025641, 0.521484375, 0.4797979797979798, 0.521578947368421, 0.4742664742664743, 0.5212765957446809, 0.5004821600771456, 0.4744633604737232, 0.4942396313364055, 0.4856175972927242, 0.4769503546099291]",0.049543049543049555
Fair_Copeland,"[0.5233759590792839, 0.4766240409207161]",0.04675191815856783,"[0.5136217948717948, 0.4863782051282051]","[0.5152777777777777, 0.49311213153606875, 0.5080213903743316, 0.49731789949181254, 0.4848931466470155]",0.027243589743589702,0.03038463113076223,"[0.49238578680203043, 0.5203552923760177, 0.52, 0.47562056737588654, 0.5210622710622711, 0.49880287310454907, 0.5214045214045214, 0.5084485407066052, 0.5160744500846024, 0.48923076923076925, 0.5247395833333334, 0.48484848484848486, 0.5110526315789473, 0.4757094757094757, 0.5234929078014184, 0.4853744776599164, 0.4759437453737972, 0.47964669738863286, 0.4873096446700508, 0.47650709219858156]",0.04911901595744683
Pick_Fairest_Perm,"[0.6782608695652174, 0.3217391304347826]",0.3565217391304348,"[0.6346153846153846, 0.36538461538461536]","[0.5572222222222222, 0.4745963560953933, 0.5590463458110517, 0.5230095990965556, 0.3212969786293294]",0.2692307692307692,0.23774936718172235,"[0.6683587140439933, 0.5877128053293856, 0.7305263157894737, 0.32136524822695034, 0.6932234432234432, 0.5192870444267093, 0.7643097643097643, 0.5119047619047619, 0.5668358714043993, 0.2594871794871795, 0.5026041666666666, 0.4595959595959596, 0.54, 0.3641173641173641, 0.5137411347517731, 0.4336226293796207, 0.3945225758697261, 0.39439324116743474, 0.5245346869712352, 0.2575354609929078]",0.5067743033168565
Correct_Fairest_Perm,"[0.5194884910485934, 0.48051150895140665]",0.03897698209718675,"[0.5177283653846154, 0.48227163461538464]","[0.5061111111111111, 0.49326025773959414, 0.5080213903743316, 0.4981648785996612, 0.49127978383689513]",0.03545673076923078,0.01674160653743645,"[0.49238578680203043, 0.5151739452257587, 0.5194736842105263, 0.4725177304964539, 0.5164835164835165, 0.5192870444267093, 0.5151515151515151, 0.5119047619047619, 0.5126903553299492, 0.48923076923076925, 0.5026041666666666, 0.5050505050505051, 0.5189473684210526, 0.4728234728234728, 0.5137411347517731, 0.4725168756027001, 0.48852701702442636, 0.4769585253456221, 0.5160744500846024, 0.48138297872340424]",0.046956808607826195
